"path","label"
"/admin/admin/backup","Backup Restore"
"/admin/admin/changepass","Password"
"/admin/admin/dashboard",""
"/admin/admin/filetype","File Types"
"/admin/admission/admission_dashboard","Dashboard"
"/admin/admission/cutofflist","Cutoff Setup"
"/admin/admission/generatemeritlist","Generate Merit List"
"/admin/admission/importapplication","Import Applicants"
"/admin/admission/manageadmission","Manage Admission"
"/admin/admission/report","Admission Report"
"/admin/admission/selection_status_report","Selection Status Report"
"/admin/admission/summary_report","Summarized Report"
"/admin/admission_transfer_cancellation/transfer_cancellation_list","Transfer & Cancellation"
"/admin/admitcard","Design Admit Card"
"/admin/alumni/alumnilist","Manage Alumni"
"/admin/alumni/events","Events"
"/admin/approve_leave","Approve Leave"
"/admin/assign_mentor","Assign Mentor"
"/admin/assign_mentor/ojt_approval_list","OJT / SIP Approval List"
"/admin/assign_mentor/ojt_details","OJT Details"
"/admin/assign_mentor/project_approval_list","Project Approval List"
"/admin/assign_mentor/project_chapter_list","Project Chapter List"
"/admin/assign_variable_fees","Assign Variable Fees"
"/admin/atkt_form/admissionsetting","ATKT/Regular Exam Form"
"/admin/atkt_form/atkt_form_report","ATKT Form"
"/admin/atkt_form/atkt_form_student","ATKT Form"
"/admin/atkt_form/edit_atkt_form_student","Edit ATKT Form"
"/admin/attributes/index","Manage Attributes"
"/admin/audit","Audit Trail Report"
"/admin/batch_settings","Batch Setting"
"/admin/book/getall","Book List"
"/admin/calendar/events","View All"
"/admin/canteen/assign_menu","Assign Menu"
"/admin/canteen/canteen_auditor","Canteen Auditor"
"/admin/canteen/create_coupon","Create Coupon"
"/admin/canteen/getall_breaktype","Menu Type Master"
"/admin/canteen/getall_canteen","Canteen Master"
"/admin/canteen/getall_foodItem","Food Item Master"
"/admin/canteen/menu_list","Menu List"
"/admin/captcha","Captcha Setting"
"/admin/certificate","Student Certificate"
"/admin/certificate_report","Certificate Report"
"/admin/chat",""
"/admin/classroom/classroom_allotment","Classroom Allotment"
"/admin/classroom/classroom_setup","Classroom Setup"
"/admin/complaint","Complaint"
"/admin/conference","Setting"
"/admin/conference/class_report","Live Class Report"
"/admin/conference/meeting","Live Meeting"
"/admin/conference/meeting_report","Live Meeting Report"
"/admin/conference/timetable","Live Classes"
"/admin/content/list","Content Share List"
"/admin/content/upload","Upload /Share Content"
"/admin/contenttype","Content Type"
"/admin/copo/co_po_mapping","CO-PO Mapping"
"/admin/copo/course_outcomes","Course Outcomes"
"/admin/copo/indirect_po_mapping","Indirect PO Mapping"
"/admin/copo/lesson","Create Lesson"
"/admin/copo/plan","Plan"
"/admin/copo/program_outcomes","Program Outcomes"
"/admin/copo/tlp_approve_list","TLP Approve List"
"/admin/currency","Currency"
"/admin/customfield","Custom Fields"
"/admin/dashboard","Dashboard"
"/admin/department/department","Department"
"/admin/designation/designation","Designation"
"/admin/disable_reason","Disable Reason"
"/admin/dispatch","Postal Dispatch"
"/admin/enquiry","Admission Enquiry"
"/admin/exam_schedule","Exam Schedule"
"/admin/examgroup","Exam Group"
"/admin/examgroup/displaymarksexamsubjwise","Mark Entry Multi Subjectwise"
"/admin/examgroup/exam_form","Exam Form"
"/admin/examgroup/exam_remuneration_bill","Exam Remuneration Bill"
"/admin/examgroup/exam_type","Exam Type"
"/admin/examgroup/markEntrySingleSubject","Mark Entry Single Subject"
"/admin/examgroup/markEntrySubjectwise","Mark Entry Subjectwise"
"/admin/examgroup/remuneration_hoursetup","Remuneration Hour Setup"
"/admin/examgroup/remuneration_setup","Remuneration Setup"
"/admin/examgroup/revaluation_form","Revaluation Form"
"/admin/exammarksheet","Design Marksheet Format"
"/admin/exammarksheet/marksheet","Print Marksheet Format"
"/admin/examresult","Exam Result"
"/admin/examresult/admitcard","Print Admit Card"
"/admin/examresult/backlog","Backlog"
"/admin/examresult/exam_result_block_unblock","Result Block/Unblock"
"/admin/examresult/examinations","Examinations"
"/admin/examresult/marksheet","Print Marksheet"
"/admin/expense","Add Expense"
"/admin/expense/expensesearch","Search Expense"
"/admin/expensehead","Expense Head"
"/admin/fee_receipt_import","Fee Receipt Import"
"/admin/feediscount","Fees Discount"
"/admin/feegroup","Fees Group"
"/admin/feemaster","Fees Master"
"/admin/feemastercoursewise","Assign Fee Master"
"/admin/feereminder/setting","Fees Reminder"
"/admin/fees_installment","Fees Installment"
"/admin/fees_type_group","Fees Type Group"
"/admin/feesforward","Fees Carry Forward"
"/admin/feetype","Fees Type"
"/admin/fine_rules","Fees Fine Rules"
"/admin/flowmaster/add_event","Add Activity"
"/admin/flowmaster/event_list","Activity List"
"/admin/front/banner","Banner Images"
"/admin/front/events","Event"
"/admin/front/gallery","Gallery"
"/admin/front/media","Media Manager"
"/admin/front/menus","Menus"
"/admin/front/notice","News"
"/admin/front/page","Pages"
"/admin/frontcms","Front CMS Setting"
"/admin/generalcall","Phone Call Log"
"/admin/generatecertificate","Generate Certificate"
"/admin/generateidcard/search","Generate ID Card"
"/admin/generatestaffidcard","Generate Staff ID Card"
"/admin/gmeet/class_report","Live Class Report"
"/admin/gmeet/index","Setting"
"/admin/gmeet/meeting","Live Meeting"
"/admin/gmeet/meeting_report","Live Meeting Report"
"/admin/gmeet/timetable","Live Classes"
"/admin/grade","Marks Grade"
"/admin/grade/relative_Grade","Relative Grade"
"/admin/holiday/set_working_days","Set Working Days"
"/admin/holiday/staff_week_off","Set Staff Week Off"
"/admin/hostel","Add Hostel"
"/admin/hostel/assign_room","Assign Room"
"/admin/hostel/change_room","Change Room"
"/admin/hostel/gatepass_list","Gatepass List"
"/admin/hostel/scan_qrcode","Scan qrcode"
"/admin/hostel/vacancy_status","Vacancy Status"
"/admin/hostelroom","Hostel Rooms"
"/admin/hostelroom/studenthosteldetails","Hostel"
"/admin/hr_recruitment","Recruitment"
"/admin/income","Add Income"
"/admin/income/incomesearch","Search Income"
"/admin/incomehead","Income Head"
"/admin/inward/inward_list","Inward"
"/admin/issueitem","Issue Item"
"/admin/item","Add Item"
"/admin/itemcategory","Item Category"
"/admin/itemstock","Add Item Stock"
"/admin/itemstore","Item Store"
"/admin/itemsupplier","Item Supplier"
"/admin/language","Languages"
"/admin/leave_batch_years","Staff Leave Batches"
"/admin/leaverequest/leaverequest","Approve Leave Request 3"
"/admin/leavetypes","Leave Type"
"/admin/lessonplan/copylesson","Copy Old Lessons"
"/admin/lessonplan/instruction_plan","Instruction Plan"
"/admin/lessonplan/lesson","Create Lesson"
"/admin/lessonplan/topic","Topic"
"/admin/liberal_art/admissionsetting","Other Course Form"
"/admin/liberal_art/liberal_art_report","Other Course Form"
"/admin/liberal_art/liberal_art_student","Other Course Form"
