module,priority,title,kind,method,route,source,usedBy
admission,core,Approve Event,command,POST,/admission-transfer-cancellation/approve-event,/admin/admission_transfer_cancellation/approve_event,/admission-transfer-cancellation/transfer-cancellation-list
admission,core,Event Reject,command,POST,/admission-transfer-cancellation/event-reject,/admin/admission_transfer_cancellation/event_reject,/admission-transfer-cancellation/transfer-cancellation-list
admission,core,Fetch Role Staff,query,GET,/admission-transfer-cancellation/fetch-role-staff,/admin/admission_transfer_cancellation/fetch_role_staff,/admission-transfer-cancellation/transfer-cancellation-list
admission,core,Request Approve Reject,command,POST,/admission-transfer-cancellation/request-approve-reject,/admin/admission_transfer_cancellation/request_approve_reject,/admission-transfer-cancellation/transfer-cancellation-list
admission,core,Request Event Details,query,POST,/admission-transfer-cancellation/request-event-details,/admin/admission_transfer_cancellation/request_event_details,/admission-transfer-cancellation/transfer-cancellation-list
admission,core,Track Request,query,POST,/admission-transfer-cancellation/track-request,/admin/admission_transfer_cancellation/track_request,/admission-transfer-cancellation/transfer-cancellation-list
admission,core,Generate Pdf,query,GET,/admission/generate-pdf,/admin/admission/generatePdf,/admission/report
admission,core,Importapplication,command,POST,/admission/importapplication,/admin/admission/importapplication,/admission/importapplication
admission,core,Save Fees Off Reason,command,POST,/admission/save-fees-off-reason,/admin/admission/save_fees_off_reason,/admission/manageadmission
admission,core,Selection Status Report,query,GET,/admission/selection-status-report,/admin/admission/selection_status_report,/admission/selection-status-report
admission,core,Add Admission Validation,command,POST,/onlineadmission/add-admission-validation,/admin/onlineadmission/addAdmissionValidation,/onlineadmission/admissionsetting
admission,core,Add Program,command,POST,/onlineadmission/add-program,/admin/onlineadmission/addProgram,/onlineadmission/admissionsetting
admission,core,Add Section,command,POST,/onlineadmission/add-section,/admin/onlineadmission/add_section,/onlineadmission/admissionsetting
admission,core,Add Validation,command,POST,/onlineadmission/add-validation,/admin/onlineadmission/addValidation,/onlineadmission/admissionsetting
admission,core,Admission Add Section,command,POST,/onlineadmission/admission-add-section,/admin/onlineadmission/admission_add_section,/onlineadmission/admissionsetting
admission,core,Changeadmissionformfieldsetting,query,POST,/onlineadmission/changeadmissionformfieldsetting,/admin/onlineadmission/changeadmissionformfieldsetting,/onlineadmission/admissionsetting
admission,core,Changefinalizedformfieldsetting,query,POST,/onlineadmission/changefinalizedformfieldsetting,/admin/onlineadmission/changefinalizedformfieldsetting,/onlineadmission/admissionsetting
admission,core,Changeformfieldsetting,query,POST,/onlineadmission/changeformfieldsetting,/admin/onlineadmission/changeformfieldsetting,/onlineadmission/admissionsetting
admission,core,Changeformfieldsetting 2year,query,POST,/onlineadmission/changeformfieldsetting-2year,/admin/onlineadmission/changeformfieldsetting_2year,/onlineadmission/admissionsetting
admission,core,Changeformfieldsetting 3year,query,POST,/onlineadmission/changeformfieldsetting-3year,/admin/onlineadmission/changeformfieldsetting_3year,/onlineadmission/admissionsetting
admission,core,Delete Admission Section,command,DELETE,/onlineadmission/delete-admission-section,/admin/onlineadmission/delete_admission_section,/onlineadmission/admissionsetting
admission,core,Delete Program,command,DELETE,/onlineadmission/delete-program,/admin/onlineadmission/deleteProgram,/onlineadmission/admissionsetting
admission,core,Delete Section,command,DELETE,/onlineadmission/delete-section,/admin/onlineadmission/delete_section,/onlineadmission/admissionsetting
admission,core,Get Program,query,GET,/onlineadmission/get-program,/admin/onlineadmission/getProgram,/onlineadmission/admissionsetting
admission,core,Get Specialization By Program,query,GET,/onlineadmission/get-specialization-by-program,/admin/onlineadmission/getSpecializationByProgram,/onlineadmission/admissionsetting /programintake
admission,core,Global Apply Program,query,POST,/onlineadmission/global-apply-program,/admin/onlineadmission/global_apply_program,/onlineadmission/admissionsetting
admission,core,Global Apply Program Admission,query,POST,/onlineadmission/global-apply-program-admission,/admin/onlineadmission/global_apply_program_admission,/onlineadmission/admissionsetting
admission,core,Global Apply Year,query,POST,/onlineadmission/global-apply-year,/admin/onlineadmission/global_apply_year,/onlineadmission/admissionsetting
admission,core,Global Apply Year Admission,query,POST,/onlineadmission/global-apply-year-admission,/admin/onlineadmission/global_apply_year_admission,/onlineadmission/admissionsetting
admission,core,Save Admission Field Data,command,POST,/onlineadmission/save-admission-field-data,/admin/onlineadmission/save_admission_field_data,/onlineadmission/admissionsetting
admission,core,Save Admission Field Settings,command,POST,/onlineadmission/save-admission-field-settings,/admin/Onlineadmission/save_admission_field_settings,/onlineadmission/admissionsetting
admission,core,Save Admission Field Type,command,POST,/onlineadmission/save-admission-field-type,/admin/onlineadmission/save_admission_field_type,/onlineadmission/admissionsetting
admission,core,Save Admission Order,command,POST,/onlineadmission/save-admission-order,/admin/onlineadmission/save_admission_order,/onlineadmission/admissionsetting
admission,core,Save Field Settings,command,POST,/onlineadmission/save-field-settings,/admin/Onlineadmission/save_field_settings,/onlineadmission/admissionsetting
admission,core,Save Field Type,command,POST,/onlineadmission/save-field-type,/admin/onlineadmission/save_field_type,/onlineadmission/admissionsetting
admission,core,Save Order,command,POST,/onlineadmission/save-order,/admin/onlineadmission/save_order,/onlineadmission/admissionsetting
admission,core,Save Row Data,command,POST,/onlineadmission/save-row-data,/admin/onlineadmission/save_row_data,/onlineadmission/admissionsetting
admission,core,Update Admission Display In Previous Section,command,POST,/onlineadmission/update-admission-display-in-previous-section,/admin/onlineadmission/update_admission_display_in_previous_section,/onlineadmission/admissionsetting
admission,core,Update Admission Section,command,POST,/onlineadmission/update-admission-section,/admin/onlineadmission/update_admission_section,/onlineadmission/admissionsetting
admission,core,Update Display In Previous Section,command,POST,/onlineadmission/update-display-in-previous-section,/admin/onlineadmission/update_display_in_previous_section,/onlineadmission/admissionsetting
admission,core,Update Section,command,POST,/onlineadmission/update-section,/admin/onlineadmission/update_section,/onlineadmission/admissionsetting
admission,core,Checkpaymentstatus,query,POST,/onlinestudent/checkpaymentstatus,/admin/onlinestudent/checkpaymentstatus,/onlinestudent
admission,core,Getstudentlist,query,GET,/onlinestudent/getstudentlist,/admin/onlinestudent/getstudentlist,/onlinestudent
students,core,Add Concession,command,POST,/railway-concession/add-concession,/railway_concession/add_concession,/railway-concession
students,core,Delete Concession,command,DELETE,/railway-concession/delete-concession,/railway_concession/delete_concession,/railway-concession
students,core,Fetch Student Details,query,GET,/railway-concession/fetch-student-details,/railway_concession/fetch_student_details,/railway-concession
students,core,Get Concession,query,GET,/railway-concession/get-concession,/railway_concession/get_concession,/railway-concession
students,core,Get Concession List,query,GET,/railway-concession/get-concession-list,/railway_concession/getConcessionList,/railway-concession
students,core,Ajax Updatescholrno,command,POST,/stdscholarship/ajax-updatescholrno,/stdscholarship/ajax_updatescholrno,/stdscholarship
students,core,Markstd Scholarshipflaged,query,POST,/stdscholarship/markstd-scholarshipflaged,/stdscholarship/markstd_scholarshipflaged,/stdscholarship
students,core,Search,query,GET,/stdscholarship/search,/stdscholarship/search,/stdscholarship
students,core,Stdajax Search,query,POST,/stdscholarship/stdajax-search,/stdscholarship/stdajaxSearch,/stdscholarship
students,core,Promote,query,POST,/stdtransfer/promote,/admin/stdtransfer/promote,/stdtransfer
