module,priority,title,route,source,httpStatus
dashboard,core,Dashboard,/dashboard,/admin/dashboard,200
admission,core,Transfer & Cancellation,/admission-transfer-cancellation/transfer-cancellation-list,/admin/admission_transfer_cancellation/transfer_cancellation_list,200
admission,core,Cutoff Setup,/admission/cutofflist,/admin/admission/cutofflist,200
admission,core,Dashboard,/admission/dashboard,/admin/admission/admission_dashboard,200
admission,core,Generate Merit List,/admission/generatemeritlist,/admin/admission/generatemeritlist,200
admission,core,Import Applicants,/admission/importapplication,/admin/admission/importapplication,200
admission,core,Manage Admission,/admission/manageadmission,/admin/admission/manageadmission,200
admission,core,Admission Report,/admission/report,/admin/admission/report,200
admission,core,Selection Status Report,/admission/selection-status-report,/admin/admission/selection_status_report,200
admission,core,Summarized Report,/admission/summary-report,/admin/admission/summary_report,200
admission,core,Online Admission Setting,/onlineadmission/admissionsetting,/admin/onlineadmission/admissionsetting,200
admission,core,International Application,/onlineinternatinaladmission/admissionsetting,/admin/onlineinternatinaladmission/admissionsetting,200
admission,core,Online Application,/onlinestudent,/admin/onlinestudent,200
students,core,Railway Concession,/railway-concession,/railway_concession/index,200
students,core,Railway Concession Report,/report/railway-concession-report,/report/railway_concession_report,200
students,core,Student Information,/report/studentinformation,/report/studentinformation,200
students,core,Scholarship,/stdscholarship,/stdscholarship,200
students,core,Promote Students,/stdtransfer,/admin/stdtransfer,200
students,core,Student Log Update,/student-log-update,/admin/student_log_update,200
students,core,Approve Optional Subject,/student/approve-optional-course,/student/approve_optional_course,200
students,core,Assign Optional Subject,/student/assign-optional-course,/student/assign_optional_course,200
students,core,Assign Seat Number,/student/assign-seat-number,/student/assign_seat_number,200
students,core,Bulk Delete,/student/bulkdelete,/student/bulkdelete,200
students,core,Login Credentials Send,/student/bulkmail,/student/bulkmail,200
students,core,Bulk Update,/student/bulkupdate,/student/bulkupdate,200
students,core,Student Admission,/student/create,/student/create,200
students,core,Student Dashboard,/student/dashboard,/student/student_dashboard,200
students,core,Disabled Students,/student/disablestudentslist,/student/disablestudentslist,200
students,core,Generate Roll Number,/student/generaterollnumber,/student/generaterollnumber,200
